Title,Author,Year,Type of Prize,url
their discoveries concerning the regulation of cholesterol metabolism,"['Michael S. Brown', 'Joseph L. Goldstein']",1985		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1985/summary/
who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,['Claude Simon'],1985		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1985/summary/
spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,['International Physicians for the Prevention of Nuclear War'],1985		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1985/summary/
his pioneering analyses of saving and of financial markets,['Franco Modigliani'],1985		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1985/summary/
"their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction","['Carlo Rubbia', 'Simon van der Meer']",1984		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1984/summary/
his development of methodology for chemical synthesis on a solid matrix,['Bruce Merrifield'],1984		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1984/summary/
theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,"['Niels K. Jerne', 'Georges J.F. Köhler', 'César Milstein']",1984		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1984/summary/
"his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",['Jaroslav Seifert'],1984		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1984/summary/
his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa,['Desmond Tutu'],1984		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1984/summary/
having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis,['Richard Stone'],1984		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1984/summary/
his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,['Subrahmanyan Chandrasekhar'],1983		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1983/summary/
"his work on the mechanisms of electron transfer reactions, especially in metal complexes",['Henry Taube'],1983		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1983/summary/
her discovery of mobile genetic elements,['Barbara McClintock'],1983		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1983/summary/
"his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today",['William Golding'],1983		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1983/summary/
non-violent struggle for free trade unions and human rights in Poland,['Lech Wałęsa'],1983		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1983/summary/
having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,['Gerard Debreu'],1983		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1983/summary/
his theory for critical phenomena in connection with phase transitions,['Kenneth G. Wilson'],1982		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1982/summary/
his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,['Aaron Klug'],1982		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1982/summary/
their discoveries concerning prostaglandins and related biologically active substances,"['Sune K. Bergström', 'Bengt I. Samuelsson', 'John R. Vane']",1982		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1982/summary/
